name,data_type,unit,description,ucd
pgc,DataType.integer,,PGC number,meta.id;meta.main
objname,DataType.character_varying,,Principal name,meta.id;meta.main
objtype,DataType.character,,Type of object (G=galaxy; S=Star ...),src.class
al1950,DataType.double_precision,hour,RA 1950 (hours decimal value),pos.eq.ra
de1950,DataType.double_precision,deg,DEC 1950 (degrees decimal value),pos.eq.dec
al2000,DataType.double_precision,hour,RA 2000 (hours decimal value),pos.eq.ra;meta.main;stat.mean
de2000,DataType.double_precision,deg,DEC 2000 (degrees decimal value),pos.eq.dec;meta.main;stat.mean
l2,DataType.double_precision,deg,Galactic longitude,pos.galactic.lon
b2,DataType.double_precision,deg,Galactic latitude,pos.galactic.lat
sgl,DataType.double_precision,deg,Supergalactic longitude,pos.supergalactic.lon
sgb,DataType.double_precision,deg,Supergalactic latitude,pos.supergalactic.lat
type,DataType.character_varying,,Morphological type,src.morph.type;meta.main
bar,DataType.character,,Barred galaxy (B),src.morph.param;stat.mean
ring,DataType.character,,Galaxy with ring (R),src.morph.param;stat.mean
multiple,DataType.character,,Multiple galaxy (M),src.morph.param;meta.code.multip;stat.mean
compactness,DataType.character,,Compact (C) or diffuse (D),src.morph.param;stat.mean
t,DataType.real,,Morphological type code,src.morph.type;meta.main;stat.mean
e_t,DataType.real,,Actual error on t (Morphological type code),src.morph.type;stat.error
logd25,DataType.real,log(0.1 arcmin),log of apparent diameter (d25 in 0.1 arcmin),phys.angSize.smajAxis;meta.main;stat.mean
e_logd25,DataType.real,log(0.1 arcmin),Actual error on logd25 (log of apparent diameter in 0.1 arcmin),phys.angSize.smajAxis;stat.error
logr25,DataType.real,log,log of axis ratio (major axis/minor axis),phys.size.axisRatio;meta.main;stat.mean
e_logr25,DataType.real,log,Actual error on logr25 (log of axis ratio: major axis/minor axis),phys.size.axisRatio;stat.error
pa,DataType.real,deg,Major axis position angle (North Eastwards),pos.posAng;meta.main;stat.mean
brief,DataType.real,mag/arcsec2,Mean effective surface brightness,phot.mag.sb;meta.main;stat.mean
e_brief,DataType.real,mag/arcsec2,Actual error on brief (Mean effective surface brightness),phot.mag.sb;stat.error
bt,DataType.real,mag,Total B-magnitude,phot.mag;em.opt.B;meta.main;stat.mean
e_bt,DataType.real,mag,Actual error on bt (Total B-magnitude),phot.mag;em.opt.B;stat.error
it,DataType.real,mag,Total I-magnitude,phot.mag;em.opt.I;meta.main;stat.mean
e_it,DataType.real,mag,Actual error on it (Total I-magnitude),phot.mag;em.opt.I;stat.error
ut,DataType.real,mag,Total U-magnitude,phot.mag;em.opt.U;meta.main;stat.mean
vt,DataType.real,mag,Total V-magnitude,phot.mag;em.opt.V;meta.main;stat.mean
ube,DataType.real,mag,Effective U-B color,phot.color;em.opt.U;em.opt.B;meta.main;stat.mean
bve,DataType.real,mag,Effective B-V color,phot.color;em.opt.B;em.opt.V;meta.main;stat.mean
vmaxg,DataType.real,km/s,Apparent maximum rotation velocity of gas,phys.veloc.rotat;meta.main;stat.mean
e_vmaxg,DataType.real,km/s,Actual error on vmaxg (Apparent maximum rotation velocity of gas),phys.veloc.rotat;stat.error
vmaxs,DataType.real,km/s,Apparent maximum rotation velocity of stars,phys.veloc.rotat;meta.main;stat.mean
e_vmaxs,DataType.real,km/s,Actual error on vmaxs (Apparent maximum rotation velocity of stars),phys.veloc.rotat;stat.error
vdis,DataType.real,km/s,Central velocity dispersion,phys.veloc.dispersion;meta.main;stat.mean
e_vdis,DataType.real,km/s,Actual error on vdis (Central velocity dispersion),phys.veloc.dispersion;stat.error
m21,DataType.real,mag,21-cm line flux in magnitude,phot.mag;em.line.HI;meta.main;stat.mean
e_m21,DataType.real,mag,Actual error on m21 (21-cm line flux in magnitude),phot.mag;em.line.HI;stat.error
mfir,DataType.real,mag,Far infrared magnitude,phot.mag;em.IR;meta.main;stat.mean
vrad,DataType.real,km/s,Heliocentric radial velocity (cz) from radio measurement,phys.veloc;em.radio;stat.mean
e_vrad,DataType.real,km/s,Actual error on vrad (Heliocentric radial velocity (cz) from radio measurement),phys.veloc;em.radio;stat.error
vopt,DataType.real,km/s,Heliocentric radial velocity (cz) from optical measurement,phys.veloc;em.opt;stat.mean
e_vopt,DataType.real,km/s,Actual error on vopt (Heliocentric radial velocity (cz) from optical measurement),phys.veloc;em.opt;stat.error
v,DataType.real,km/s,Mean Heliocentric radial velocity (cz),phys.veloc;meta.main;stat.mean
e_v,DataType.real,km/s,Actual error on v (Mean Heliocentric radial velocity),phys.veloc;stat.error
